============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 06 2021  09:18:39 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     
     Gate      Instances     Area           Library       
INVD6BWP              11      17.464    tcbn45gsbwpbc0d88 
INVD8BWP              19      40.219    tcbn45gsbwpbc0d88 
IOA21D1BWP           453     559.364    tcbn45gsbwpbc0d88 
IOA21D2BWP            39      61.916    tcbn45gsbwpbc0d88 
IOA22D0BWP             1       1.588    tcbn45gsbwpbc0d88 
MAOI222D0BWP          22      31.046    tcbn45gsbwpbc0d88 
MAOI222D1BWP        1383    1951.690    tcbn45gsbwpbc0d88 
MAOI22D0BWP          167     235.670    tcbn45gsbwpbc0d88 
MOAI22D0BWP         2835    4000.752    tcbn45gsbwpbc0d88 
MOAI22D1BWP            3       4.763    tcbn45gsbwpbc0d88 
MUX2D1BWP           1938    3418.632    tcbn45gsbwpbc0d88 
MUX2D2BWP             32      62.093    tcbn45gsbwpbc0d88 
MUX2ND0BWP           575     811.440    tcbn45gsbwpbc0d88 
MUX2ND1BWP             1       2.293    tcbn45gsbwpbc0d88 
MUX2ND2BWP             1       2.470    tcbn45gsbwpbc0d88 
ND2D1BWP             648     457.229    tcbn45gsbwpbc0d88 
ND2D2BWP              33      40.748    tcbn45gsbwpbc0d88 
ND2D3BWP              12      19.051    tcbn45gsbwpbc0d88 
ND2D4BWP               1       2.117    tcbn45gsbwpbc0d88 
ND2D8BWP               1       3.881    tcbn45gsbwpbc0d88 
ND3D1BWP             290     306.936    tcbn45gsbwpbc0d88 
ND4D1BWP             179     221.029    tcbn45gsbwpbc0d88 
NR2D0BWP               2       1.411    tcbn45gsbwpbc0d88 
NR2D1BWP             381     268.834    tcbn45gsbwpbc0d88 
NR2D2BWP               8       9.878    tcbn45gsbwpbc0d88 
NR2D4BWP               1       2.117    tcbn45gsbwpbc0d88 
NR2D8BWP               1       3.881    tcbn45gsbwpbc0d88 
NR2XD0BWP           1799    1269.374    tcbn45gsbwpbc0d88 
