============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 05 2021  04:51:22 pm
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                    Module                        Cell Count  Cell Area   Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
      Cm[0].Gm[0].Um[8].Mm[4].MUL   multiplier_raw_116                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[3].MUL   multiplier_raw_115                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[2].MUL   multiplier_raw_114                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[1].MUL   multiplier_raw_113                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[13].MUL  multiplier_raw_111                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[12].MUL  multiplier_raw_110                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[11].MUL  multiplier_raw_109                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[10].MUL  multiplier_raw_108                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[9].MUL   multiplier_raw_107                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[8].MUL   multiplier_raw_106                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[7].MUL   multiplier_raw_105                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[6].MUL   multiplier_raw_104                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[5].MUL   multiplier_raw_103                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[4].MUL   multiplier_raw_102                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[3].MUL   multiplier_raw_101                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[2].MUL   multiplier_raw_100                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[7].Mm[1].MUL   multiplier_raw_99                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[13].MUL  multiplier_raw_97                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[12].MUL  multiplier_raw_96                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[11].MUL  multiplier_raw_95                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[10].MUL  multiplier_raw_94                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[9].MUL   multiplier_raw_93                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[8].MUL   multiplier_raw_92                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[7].MUL   multiplier_raw_91                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[6].MUL   multiplier_raw_90                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[5].MUL   multiplier_raw_89                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[4].MUL   multiplier_raw_88                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[3].MUL   multiplier_raw_87                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[2].MUL   multiplier_raw_86                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[6].Mm[1].MUL   multiplier_raw_85                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[13].MUL  multiplier_raw_83                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[12].MUL  multiplier_raw_82                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[11].MUL  multiplier_raw_81                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[10].MUL  multiplier_raw_80                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[9].MUL   multiplier_raw_79                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[8].MUL   multiplier_raw_78                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[7].MUL   multiplier_raw_77                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[6].MUL   multiplier_raw_76                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[5].MUL   multiplier_raw_75                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[4].MUL   multiplier_raw_74                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[3].MUL   multiplier_raw_73                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[2].MUL   multiplier_raw_72                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[5].Mm[1].MUL   multiplier_raw_71                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[13].MUL  multiplier_raw_69                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[12].MUL  multiplier_raw_68                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[11].MUL  multiplier_raw_67                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[10].MUL  multiplier_raw_66                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[9].MUL   multiplier_raw_65                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[8].MUL   multiplier_raw_64                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[7].MUL   multiplier_raw_63                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[6].MUL   multiplier_raw_62                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[5].MUL   multiplier_raw_61                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[4].MUL   multiplier_raw_60                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[3].MUL   multiplier_raw_59                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[2].MUL   multiplier_raw_58                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[4].Mm[1].MUL   multiplier_raw_57                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[13].MUL  multiplier_raw_55                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[12].MUL  multiplier_raw_54                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[11].MUL  multiplier_raw_53                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[10].MUL  multiplier_raw_52                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[9].MUL   multiplier_raw_51                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[8].MUL   multiplier_raw_50                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[7].MUL   multiplier_raw_49                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[6].MUL   multiplier_raw_48                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[5].MUL   multiplier_raw_47                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[4].MUL   multiplier_raw_46                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[3].MUL   multiplier_raw_45                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[2].MUL   multiplier_raw_44                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[3].Mm[1].MUL   multiplier_raw_43                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[13].MUL  multiplier_raw_41                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[12].MUL  multiplier_raw_40                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[11].MUL  multiplier_raw_39                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[10].MUL  multiplier_raw_38                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[9].MUL   multiplier_raw_37                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[8].MUL   multiplier_raw_36                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[7].MUL   multiplier_raw_35                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[6].MUL   multiplier_raw_34                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[5].MUL   multiplier_raw_33                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[4].MUL   multiplier_raw_32                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[3].MUL   multiplier_raw_31                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[2].MUL   multiplier_raw_30                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[2].Mm[1].MUL   multiplier_raw_29                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[13].MUL  multiplier_raw_27                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[12].MUL  multiplier_raw_26                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[11].MUL  multiplier_raw_25                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[10].MUL  multiplier_raw_24                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[9].MUL   multiplier_raw_23                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[8].MUL   multiplier_raw_22                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[7].MUL   multiplier_raw_21                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[6].MUL   multiplier_raw_20                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[5].MUL   multiplier_raw_19                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[4].MUL   multiplier_raw_18                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[3].MUL   multiplier_raw_17                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[2].MUL   multiplier_raw_16                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[1].Mm[1].MUL   multiplier_raw_15                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[13].MUL  multiplier_raw_13                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[12].MUL  multiplier_raw_12                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[11].MUL  multiplier_raw_11                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[10].MUL  multiplier_raw_10                                          129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[9].MUL   multiplier_raw_9                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[8].MUL   multiplier_raw_8                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[7].MUL   multiplier_raw_7                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[6].MUL   multiplier_raw_6                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[5].MUL   multiplier_raw_5                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[4].MUL   multiplier_raw_4                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[3].MUL   multiplier_raw_3                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[2].MUL   multiplier_raw_2                                           129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[0].Mm[1].MUL   multiplier_raw_1                                           129    260.190    203.605      463.795 
      Ca[0].Ga[0].Ua[12].Ma[13].ACC accumulator_raw_181                                        100    306.230    123.671      429.902 
      Ca[0].Ga[0].Ua[9].Ma[13].ACC  accumulator_raw_139                                        100    306.230    123.671      429.902 
      Ca[0].Ga[0].Ua[5].Ma[13].ACC  accumulator_raw_83                                         100    306.230    123.671      429.902 
      Ca[0].Ga[0].Ua[4].Ma[13].ACC  accumulator_raw_69                                         100    306.230    123.671      429.902 
      Ca[0].Ga[0].Ua[0].Ma[13].ACC  accumulator_raw_13                                         100    306.230    123.671      429.902 
      Ca[0].Ga[0].Ua[13].Ma[13].ACC accumulator_raw_195                                        100    306.230    120.644      426.874 
      Ca[0].Ga[0].Ua[7].Ma[13].ACC  accumulator_raw_111                                        100    306.230    118.121      424.351 
