============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:22:33 am
  Module:                 axis_accelerator_asic
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                Leakage      Dynamic        Total     
               Instance                 Cells  Power(nW)    Power(nW)     Power(nW)   
      Cm[0].Gm[0..3].Mm[12].MUL           434   14869.449   1230614.913   1245484.362 
      Cm[0].Gm[0..[0].Mm[4].MUL           454   14868.306   1281905.951   1296774.257 
      Cm[0].Gm[0..[2].Mm[2].MUL           430   14861.507   1236554.080   1251415.587 
      Cm[0].Gm[0..3].Mm[10].MUL           441   14853.650   1226723.711   1241577.361 
      Cm[0].Gm[0..11].Mm[1].MUL           443   14852.341   1251919.174   1266771.515 
      Cm[0].Gm[0..[2].Mm[8].MUL           441   14846.112   1228582.991   1243429.103 
      Cm[0].Gm[0..11].Mm[8].MUL           406   14841.115   1209964.099   1224805.213 
      Cm[0].Gm[0..[7].Mm[2].MUL           413   14835.974   1220782.172   1235618.147 
      Cm[0].Gm[0..[1].Mm[8].MUL           433   14831.815   1220164.042   1234995.856 
      Cm[0].Gm[0..2].Mm[12].MUL           439   14827.355   1231438.826   1246266.182 
      Cm[0].Gm[0..13].Mm[9].MUL           409   14791.547   1216562.347   1231353.894 
      Cm[0].Gm[0..13].Mm[3].MUL           438   14755.497   1223630.285   1238385.783 
      Cm[0].Gm[0..[7].Mm[4].MUL           406   14744.637   1207340.933   1222085.571 
      Cm[0].Gm[0..[5].Mm[4].MUL           435   14736.966   1223472.506   1238209.472 
      Cm[0].Gm[0..3].Mm[11].MUL           408   14716.396   1213718.864   1228435.260 
      Cm[0].Gm[0..13].Mm[6].MUL           406   14716.281   1219954.092   1234670.373 
      Cm[0].Gm[0..[7].Mm[8].MUL           426   14709.237   1211541.829   1226251.065 
      Cm[0].Gm[0..2].Mm[12].MUL           424   14709.152   1224370.321   1239079.473 
      Cm[0].Gm[0..[4].Mm[7].MUL           446   14698.162   1219192.878   1233891.041 
      Cm[0].Gm[0..[1].Mm[3].MUL           412   14672.162   1200124.127   1214796.289 
      Cm[0].Gm[0..[1].Mm[2].MUL           433   14666.625   1212521.611   1227188.235 
      Cm[0].Gm[0..1].Mm[12].MUL           421   14665.590   1211451.627   1226117.217 
      Cm[0].Gm[0..[1].Mm[6].MUL           399   14664.705   1206629.867   1221294.573 
      Cm[0].Gm[0..3].Mm[13].MUL           476   14586.282   1233222.089   1247808.371 
      Cm[0].Gm[0..[4].Mm[2].MUL           431   14534.608   1229903.140   1244437.748 
      Cm[0].Gm[0..13].Mm[2].MUL           405   14507.857   1206769.593   1221277.449 
