============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 18 2021  03:36:02 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
INR2D4BWP            71     187.866    tcbn45gsbwptc 
INR2XD0BWP        11482   12152.549    tcbn45gsbwptc 
INR2XD1BWP          173     244.138    tcbn45gsbwptc 
INR2XD2BWP          134     307.289    tcbn45gsbwptc 
INR2XD4BWP            2       9.173    tcbn45gsbwptc 
INR3D0BWP            32      39.514    tcbn45gsbwptc 
INR4D0BWP             4       6.350    tcbn45gsbwptc 
INVD12BWP           581    1742.303    tcbn45gsbwptc 
INVD16BWP           537    2083.990    tcbn45gsbwptc 
INVD1BWP           5930    3138.156    tcbn45gsbwptc 
INVD2BWP            290     204.624    tcbn45gsbwptc 
INVD3BWP            540     571.536    tcbn45gsbwptc 
INVD4BWP            674     832.255    tcbn45gsbwptc 
INVD6BWP            106     168.286    tcbn45gsbwptc 
INVD8BWP            123     260.366    tcbn45gsbwptc 
IOA21D1BWP         7017    8664.592    tcbn45gsbwptc 
IOA21D2BWP          824    1308.182    tcbn45gsbwptc 
IOA22D2BWP           11      23.285    tcbn45gsbwptc 
IOA22D4BWP            2       6.350    tcbn45gsbwptc 
MAOI222D0BWP         30      42.336    tcbn45gsbwptc 
MAOI222D1BWP        311     438.883    tcbn45gsbwptc 
MAOI22D0BWP          23      32.458    tcbn45gsbwptc 
MAOI22D1BWP          52      82.555    tcbn45gsbwptc 
MAOI22D2BWP          12      25.402    tcbn45gsbwptc 
MOAI22D0BWP         103     145.354    tcbn45gsbwptc 
MOAI22D1BWP         313     496.919    tcbn45gsbwptc 
MOAI22D2BWP           3       6.350    tcbn45gsbwptc 
MUX2D1BWP          9189   16209.396    tcbn45gsbwptc 
MUX2D2BWP             5       9.702    tcbn45gsbwptc 
MUX2D4BWP            78     233.906    tcbn45gsbwptc 
MUX2ND0BWP          147     207.446    tcbn45gsbwptc 
MUX2ND2BWP            2       4.939    tcbn45gsbwptc 
MUX2ND4BWP            2       7.056    tcbn45gsbwptc 
ND2D1BWP           6803    4800.197    tcbn45gsbwptc 
ND2D2BWP           2001    2470.835    tcbn45gsbwptc 
ND2D3BWP            185     293.706    tcbn45gsbwptc 
ND2D4BWP             52     110.074    tcbn45gsbwptc 
ND2D8BWP              4      15.523    tcbn45gsbwptc 
ND3D1BWP             25      26.460    tcbn45gsbwptc 
ND4D1BWP            336     414.893    tcbn45gsbwptc 
ND4D2BWP              2       4.586    tcbn45gsbwptc 
ND4D3BWP              1       2.999    tcbn45gsbwptc 
NR2D1BWP           2369    1671.566    tcbn45gsbwptc 
NR2D2BWP           1274    1573.135    tcbn45gsbwptc 
NR2D3BWP            179     284.180    tcbn45gsbwptc 
NR2D4BWP             29      61.387    tcbn45gsbwptc 
NR2D8BWP             25      97.020    tcbn45gsbwptc 
NR2XD0BWP          3589    2532.398    tcbn45gsbwptc 
NR2XD1BWP           947    1169.356    tcbn45gsbwptc 
NR2XD2BWP            14      29.635    tcbn45gsbwptc 
NR2XD3BWP            41     122.951    tcbn45gsbwptc 
NR2XD4BWP            11      42.689    tcbn45gsbwptc 
NR3D0BWP             24      25.402    tcbn45gsbwptc 
NR3D1BWP              2       3.175    tcbn45gsbwptc 
NR3D2BWP              1       2.822    tcbn45gsbwptc 
NR4D0BWP             37      45.688    tcbn45gsbwptc 
NR4D2BWP              3      10.584    tcbn45gsbwptc 
OA211D1BWP            6       8.467    tcbn45gsbwptc 
OA21D0BWP             2       2.470    tcbn45gsbwptc 
OA21D1BWP           997    1231.096    tcbn45gsbwptc 
OA21D2BWP           132     186.278    tcbn45gsbwptc 
OA21D4BWP            36      95.256    tcbn45gsbwptc 
OA221D1BWP            4       7.762    tcbn45gsbwptc 
OA222D1BWP            4       8.467    tcbn45gsbwptc 
OA22D1BWP             6       9.526    tcbn45gsbwptc 
OA22D2BWP             8      15.523    tcbn45gsbwptc 
OA22D4BWP             3       9.526    tcbn45gsbwptc 
OA31D1BWP             4       5.645    tcbn45gsbwptc 
OAI211D1BWP          57      70.384    tcbn45gsbwptc 
OAI211D2BWP          10      21.168    tcbn45gsbwptc 
OAI21D1BWP          673     712.303    tcbn45gsbwptc 
OAI21D2BWP         1490    2365.524    tcbn45gsbwptc 
OAI21D4BWP          724    2298.845    tcbn45gsbwptc 
OAI221D1BWP          69     109.544    tcbn45gsbwptc 
OAI222D1BWP           1       1.940    tcbn45gsbwptc 
OAI22D1BWP          238     293.882    tcbn45gsbwptc 
OAI22D2BWP          148     313.286    tcbn45gsbwptc 
OAI22D4BWP          189     800.150    tcbn45gsbwptc 
OAI31D1BWP            3       3.704    tcbn45gsbwptc 
OAI32D1BWP            6       8.467    tcbn45gsbwptc 
OR2D1BWP           1507    1595.009    tcbn45gsbwptc 
OR2D2BWP             16      19.757    tcbn45gsbwptc 
OR2D4BWP            187     395.842    tcbn45gsbwptc 
OR2D8BWP              3      10.584    tcbn45gsbwptc 
OR2XD1BWP          1094    1157.890    tcbn45gsbwptc 
OR3D1BWP             15      18.522    tcbn45gsbwptc 
OR3D4BWP              1       2.646    tcbn45gsbwptc 
OR3D8BWP              1       4.234    tcbn45gsbwptc 
OR3XD1BWP            16      19.757    tcbn45gsbwptc 
OR4D1BWP             28      39.514    tcbn45gsbwptc 
OR4XD1BWP            22      31.046    tcbn45gsbwptc 
SDFCNQD1BWP          60     317.520    tcbn45gsbwptc 
XNR2D1BWP          3225    5688.900    tcbn45gsbwptc 
XNR3D1BWP           939    2981.513    tcbn45gsbwptc 
XNR3D2BWP             1       4.057    tcbn45gsbwptc 
XOR2D1BWP          1912    3372.768    tcbn45gsbwptc 
XOR3D1BWP          1776    5639.155    tcbn45gsbwptc 
XOR3D2BWP            18      63.504    tcbn45gsbwptc 
XOR3D4BWP             2      10.584    tcbn45gsbwptc 
-----------------------------------------------------
total            312550  731936.873                  


                                                         
            Type             Instances    Area    Area % 
---------------------------------------------------------
sequential                       77691 287964.886   39.3 
inverter                         11193  13563.220    1.9 
buffer                           22164  21934.811    3.0 
clock_gating_integrated_cell      1475   4943.610    0.7 
unresolved                           2      0.000    0.0 
logic                           200027 403530.347   55.1 
physical_cells                       0      0.000    0.0 
---------------------------------------------------------
total                           312552 731936.873  100.0 

