============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  10:01:56 pm
  Module:                 axis_conv_engine
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           Leakage      Dynamic       Total    
            Instance              Cells   Power(nW)    Power(nW)    Power(nW)  
    Cm[0].Gm[0..[7].Mm[2].MUL       616    19468.409    52054.006    71522.415 
      mul_74_23                     552    12104.218    33931.702    46035.920 
      REG                            64     7364.191    18122.304    25486.495 
    Cm[0].Gm[0..[7].Mm[3].MUL       616    19468.409    54709.306    74177.715 
      mul_74_23                     552    12104.218    36091.967    48196.185 
      REG                            64     7364.191    18617.339    25981.530 
    Cm[0].Gm[0..[7].Mm[4].MUL       616    19468.409    52209.554    71677.963 
      mul_74_23                     552    12104.218    34262.321    46366.539 
      REG                            64     7364.191    17947.233    25311.424 
    Cm[0].Gm[0..[7].Mm[5].MUL       616    19468.409    54248.667    73717.076 
      mul_74_23                     552    12104.218    35985.935    48090.153 
      REG                            64     7364.191    18262.733    25626.923 
    Cm[0].Gm[0..[7].Mm[6].MUL       616    19468.409    52920.924    72389.333 
      mul_74_23                     552    12104.218    35479.886    47584.103 
      REG                            64     7364.191    17441.039    24805.229 
    Cm[0].Gm[0..[7].Mm[7].MUL       616    19468.409    52740.109    72208.518 
      mul_74_23                     552    12104.218    34521.094    46625.312 
      REG                            64     7364.191    18219.016    25583.206 
    Cm[0].Gm[0..[7].Mm[8].MUL       616    19468.409    50886.324    70354.732 
      mul_74_23                     552    12104.218    32987.372    45091.590 
      REG                            64     7364.191    17898.952    25263.142 
    Cm[0].Gm[0..[7].Mm[9].MUL       616    19468.409    53052.631    72521.040 
      mul_74_23                     552    12104.218    35028.051    47132.269 
      REG                            64     7364.191    18024.580    25388.771 
    Cm[0].Gm[0..7].Mm[10].MUL       616    19468.409    52310.515    71778.923 
      mul_74_23                     552    12104.218    33839.743    45943.961 
      REG                            64     7364.191    18470.772    25834.963 
    Cm[0].Gm[0..7].Mm[11].MUL       616    19468.409    53375.900    72844.308 
      mul_74_23                     552    12104.218    34934.427    47038.645 
      REG                            64     7364.191    18441.473    25805.664 
    Cm[0].Gm[0..7].Mm[12].MUL       616    19468.409    50968.883    70437.292 
      mul_74_23                     552    12104.218    33024.379    45128.597 
      REG                            64     7364.191    17944.504    25308.695 
    Cm[0].Gm[0..7].Mm[13].MUL       616    19468.409    50600.108    70068.516 
      mul_74_23                     552    12104.218    32603.449    44707.667 
      REG                            64     7364.191    17996.659    25360.849 
    Cm[0].Gm[0..[8].Mm[0].MUL       616    19468.409    51612.211    71080.619 
      mul_74_23                     552    12104.218    33888.964    45993.182 
      REG                            64     7364.191    17723.247    25087.437 
    Cm[0].Gm[0..[8].Mm[1].MUL       616    19468.409    54823.941    74292.349 
      mul_74_23                     552    12104.218    36499.944    48604.162 
      REG                            64     7364.191    18323.997    25688.188 
    Cm[0].Gm[0..[8].Mm[2].MUL       616    19468.409    55328.089    74796.498 
      mul_74_23                     552    12104.218    37208.019    49312.237 
      REG                            64     7364.191    18120.070    25484.261 
    Cm[0].Gm[0..[8].Mm[3].MUL       616    19468.409    55497.862    74966.271 
      mul_74_23                     552    12104.218    37142.793    49247.011 
      REG                            64     7364.191    18355.069    25719.260 
    Cm[0].Gm[0..[8].Mm[4].MUL       616    19468.409    55392.821    74861.229 
      mul_74_23                     552    12104.218    37227.184    49331.402 
      REG                            64     7364.191    18165.637    25529.827 
    Cm[0].Gm[0..[8].Mm[5].MUL       616    19468.409    56586.414    76054.822 
      mul_74_23                     552    12104.218    38068.184    50172.402 
      REG                            64     7364.191    18518.230    25882.420 
    Cm[0].Gm[0..[8].Mm[6].MUL       616    19468.409    53716.277    73184.686 
      mul_74_23                     552    12104.218    35926.466    48030.684 
      REG                            64     7364.191    17789.811    25154.001 
    Cm[0].Gm[0..[8].Mm[7].MUL       616    19468.409    53287.255    72755.663 
      mul_74_23                     552    12104.218    35358.348    47462.566 
      REG                            64     7364.191    17928.907    25293.097 
    Cm[0].Gm[0..[8].Mm[8].MUL       616    19468.409    54977.550    74445.959 
      mul_74_23                     552    12104.218    36554.946    48659.163 
      REG                            64     7364.191    18422.605    25786.795 
    Cm[0].Gm[0..[8].Mm[9].MUL       616    19468.409    53813.144    73281.553 
      mul_74_23                     552    12104.218    36020.133    48124.351 
      REG                            64     7364.191    17793.012    25157.202 
    Cm[0].Gm[0..8].Mm[10].MUL       616    19468.409    54471.815    73940.224 
      mul_74_23                     552    12104.218    36001.476    48105.694 
      REG                            64     7364.191    18470.339    25834.530 
    Cm[0].Gm[0..8].Mm[11].MUL       616    19468.409    54952.294    74420.703 
      mul_74_23                     552    12104.218    36250.618    48354.835 
      REG                            64     7364.191    18701.677    26065.867 
    Cm[0].Gm[0..8].Mm[12].MUL       616    19468.409    54519.265    73987.674 
      mul_74_23                     552    12104.218    35872.439    47976.657 
      REG                            64     7364.191    18646.827    26011.017 
    Cm[0].Gm[0..8].Mm[13].MUL       616    19468.409    51083.922    70552.331 
      mul_74_23                     552    12104.218    33527.607    45631.825 
      REG                            64     7364.191    17556.315    24920.506 
    Cm[0].Gm[0..[9].Mm[0].MUL       616    19468.409    54466.269    73934.677 
      mul_74_23                     552    12104.218    36750.907    48855.125 
      REG                            64     7364.191    17715.361    25079.552 
    Cm[0].Gm[0..[9].Mm[1].MUL       616    19468.409    55644.853    75113.262 
      mul_74_23                     552    12104.218    37594.680    49698.898 
      REG                            64     7364.191    18050.173    25414.363 
    Cm[0].Gm[0..[9].Mm[2].MUL       616    19468.409    55705.355    75173.764 
      mul_74_23                     552    12104.218    37262.586    49366.804 
      REG                            64     7364.191    18442.769    25806.960 
    Cm[0].Gm[0..[9].Mm[3].MUL       616    19468.409    56414.596    75883.004 
      mul_74_23                     552    12104.218    37995.255    50099.473 
      REG                            64     7364.191    18419.341    25783.531 
    Cm[0].Gm[0..[9].Mm[4].MUL       616    19468.409    57583.475    77051.883 
      mul_74_23                     552    12104.218    38507.745    50611.963 
      REG                            64     7364.191    19075.729    26439.920 
    Cm[0].Gm[0..[9].Mm[5].MUL       616    19468.409    55572.619    75041.028 
      mul_74_23                     552    12104.218    36992.339    49096.557 
      REG                            64     7364.191    18580.280    25944.471 
    Cm[0].Gm[0..[9].Mm[6].MUL       616    19468.409    54407.319    73875.728 
      mul_74_23                     552    12104.218    36100.752    48204.970 
      REG                            64     7364.191    18306.567    25670.758 
    Cm[0].Gm[0..[9].Mm[7].MUL       616    19468.409    53321.272    72789.681 
      mul_74_23                     552    12104.218    35050.687    47154.905 
      REG                            64     7364.191    18270.586    25634.776 
    Cm[0].Gm[0..[9].Mm[8].MUL       616    19468.409    55189.712    74658.121 
      mul_74_23                     552    12104.218    36710.467    48814.684 
      REG                            64     7364.191    18479.246    25843.436 
    Cm[0].Gm[0..[9].Mm[9].MUL       616    19468.409    56036.351    75504.760 
      mul_74_23                     552    12104.218    37652.531    49756.749 
      REG                            64     7364.191    18383.820    25748.011 
