============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  10:01:45 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_141               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[13].MUL     multiplier_raw_139                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_140               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[12].MUL     multiplier_raw_138                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_139               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[11].MUL     multiplier_raw_137                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_138               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[10].MUL     multiplier_raw_136                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_137               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[9].MUL      multiplier_raw_135                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_136               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[8].MUL      multiplier_raw_134                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_135               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[7].MUL      multiplier_raw_133                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_134               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[6].MUL      multiplier_raw_132                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_133               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[5].MUL      multiplier_raw_131                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_132               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[4].MUL      multiplier_raw_130                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_131               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[3].MUL      multiplier_raw_129                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_130               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[2].MUL      multiplier_raw_128                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_129               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[1].MUL      multiplier_raw_127                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_128               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[9].Mm[0].MUL      multiplier_raw_126                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_127               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[13].MUL     multiplier_raw_125                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_126               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[12].MUL     multiplier_raw_124                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_125               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[11].MUL     multiplier_raw_123                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_124               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[10].MUL     multiplier_raw_122                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_123               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[9].MUL      multiplier_raw_121                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_122               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[8].MUL      multiplier_raw_120                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_121               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[7].MUL      multiplier_raw_119                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_120               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[6].MUL      multiplier_raw_118                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_119               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[5].MUL      multiplier_raw_117                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_118               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[4].MUL      multiplier_raw_116                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_117               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[3].MUL      multiplier_raw_115                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_116               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[2].MUL      multiplier_raw_114                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_115               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[1].MUL      multiplier_raw_113                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_114               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[8].Mm[0].MUL      multiplier_raw_112                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_113               64    174.695     0.000      174.695 
