============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:10:51 pm
  Module:                 axis_conv_engine
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         Leakage      Dynamic       Total    
            Instance             Cells  Power(nW)    Power(nW)    Power(nW)  
    Ca[0].Ga[1..3].Ma[11].ACC        0       0.000  1348186.841  1348186.841 
    Ca[1].Ga[0..[0].Ma[0].ACC        0       0.000  1348990.447  1348990.447 
    Ca[1].Ga[0..[0].Ma[1].ACC        0       0.000  1349537.287  1349537.287 
    Ca[1].Ga[0..[0].Ma[2].ACC        0       0.000  1349531.799  1349531.799 
    Ca[1].Ga[0..[0].Ma[3].ACC        0       0.000  1349501.554  1349501.554 
    Ca[1].Ga[0..[0].Ma[4].ACC        0       0.000  1349365.386  1349365.386 
    Ca[1].Ga[0..[0].Ma[5].ACC        0       0.000  1349389.633  1349389.633 
    Ca[1].Ga[0..[0].Ma[6].ACC        0       0.000  1349581.825  1349581.825 
    Ca[1].Ga[0..[0].Ma[7].ACC        0       0.000  1349558.471  1349558.471 
    Ca[1].Ga[0..[0].Ma[8].ACC        0       0.000  1349446.423  1349446.423 
    Ca[1].Ga[0..[0].Ma[9].ACC        0       0.000  1349489.047  1349489.047 
    Ca[1].Ga[0..0].Ma[10].ACC        0       0.000  1349463.651  1349463.651 
    Ca[1].Ga[0..0].Ma[11].ACC        0       0.000  1348255.755  1348255.755 
    Ca[1].Ga[0..[1].Ma[0].ACC        0       0.000  1348990.319  1348990.319 
    Ca[1].Ga[0..[1].Ma[1].ACC        0       0.000  1349343.946  1349343.946 
    Ca[1].Ga[0..[1].Ma[2].ACC        0       0.000  1349555.663  1349555.663 
    Ca[1].Ga[0..[1].Ma[3].ACC        0       0.000  1349614.495  1349614.495 
    Ca[1].Ga[0..[1].Ma[4].ACC        0       0.000  1349512.912  1349512.912 
    Ca[1].Ga[0..[1].Ma[5].ACC        0       0.000  1349420.517  1349420.517 
    Ca[1].Ga[0..[1].Ma[6].ACC        0       0.000  1349498.491  1349498.491 
    Ca[1].Ga[0..[1].Ma[7].ACC        0       0.000  1349621.514  1349621.514 
    Ca[1].Ga[0..[1].Ma[8].ACC        0       0.000  1349337.055  1349337.055 
    Ca[1].Ga[0..[1].Ma[9].ACC        0       0.000  1349405.203  1349405.203 
    Ca[1].Ga[0..1].Ma[10].ACC        0       0.000  1349525.801  1349525.801 
    Ca[1].Ga[0..1].Ma[11].ACC        0       0.000  1348092.660  1348092.660 
    Ca[1].Ga[0..[2].Ma[0].ACC        0       0.000  1349103.516  1349103.516 
    Ca[1].Ga[0..[2].Ma[1].ACC        0       0.000  1349509.211  1349509.211 
    Ca[1].Ga[0..[2].Ma[2].ACC        0       0.000  1349442.977  1349442.977 
    Ca[1].Ga[0..[2].Ma[3].ACC        0       0.000  1349478.838  1349478.838 
    Ca[1].Ga[0..[2].Ma[4].ACC        0       0.000  1349425.111  1349425.111 
    Ca[1].Ga[0..[2].Ma[5].ACC        0       0.000  1349494.152  1349494.152 
