============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:52:50 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc 120
                          physical_cells 
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
      mul_74_23                      mult_unsigned_195_6813                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_131               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[4].MUL      multiplier_130                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6814                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_130               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[3].MUL      multiplier_129                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6816                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_129               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[2].MUL      multiplier_128                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6817                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_128               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[1].MUL      multiplier_127                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6818                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_127               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[0].MUL      multiplier_126                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6819                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_126               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[13].MUL     multiplier_125                                             146    359.856    88.777      448.633 
