============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:13 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                     Instance                                           Module                        Cell Count   Cell Area   Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------------
        MUL                                       multiplier_raw_27                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_27                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_27                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[28].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_28                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_28                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_28                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[29].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_29                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_29                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_29                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[20].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_116                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_116                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_116               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[21].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_117                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_117                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_117               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[22].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_118                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_118                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_118               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[23].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_119                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_119                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_119               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[24].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_120                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_120                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_120               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[25].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_121                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_121                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_121               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[26].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_122                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_122                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_122               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[27].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_123                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_123                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_123               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[28].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_124                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_124                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_124               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[29].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_125                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_125                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_125               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[20].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_212                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_212                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_212               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[21].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_213                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_213                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_213               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[22].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_214                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_214                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_214               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[23].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_215                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_215                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_215               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[24].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_216                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_216                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_216               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[25].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_217                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_217                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_217               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[26].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_218                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_218                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_218               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[27].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_219                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_219                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_219               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[28].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_220                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_220                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_220               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[29].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_221                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_221                                         74     455.600     87.758      543.358 
