============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:18 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate        Instances     Area                   Library              
NAND2X8AA10TH              1        9.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X8BA10TH              6       55.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2XBX1MA10TH          664     1593.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND3BX1MA10TH            25       70.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND3X1AA10TH            182      436.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND3X1MA10TH              9       21.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND3XXBX1MA10TH          37      103.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND3XXBX6MA10TH           1       10.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND4BX1MA10TH            37      118.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND4X1AA10TH             16       44.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND4X1MA10TH            333      932.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND4XXXBX1MA10TH         21       67.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2BX1MA10TH            380      912.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2BX3MA10TH              2        8.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2X1AA10TH              24       38.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2X1MA10TH            5484     8774.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2X3AA10TH               3       12.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2X3MA10TH               4       16.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2X8AA10TH               1        9.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2XBX1MA10TH          1718     4123.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2XBX2MA10TH             1        3.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2XBX3MA10TH             4       17.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR2XBX4MA10TH             3       15.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR3X1AA10TH              10       24.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR3X1MA10TH              18       43.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NOR3X1P4MA10TH             1        3.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
OA211X0P7MA10TH            7       25.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
OA21X1MA10TH             683     2185.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
OA22X1MA10TH             320     1280.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI211X1MA10TH           128      358.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI21BX0P7MA10TH          83      265.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI21BX1MA10TH            86      275.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI21X1MA10TH           1413     3391.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI221X1MA10TH           112      448.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI222X1MA10TH            49      215.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI22X1MA10TH          16602    46485.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
OAI2XB1X1MA10TH           32      102.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
OR2X1MA10TH              724     1737.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
OR2X2MA10TH                7       28.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
OR2X4MA10TH                1        6.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
OR3X0P5MA10TH             30       84.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
OR4X1MA10TH               12       52.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
OR6X1MA10TH               41      213.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
PREICGX0P5BA10TH         836     6019.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
