============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
        MUL                           138    2157.130    156145.221    158302.350 
        ACC                            74    1328.565     99452.253    100780.818 
          REG                          25     370.694     52591.968     52962.662 
            RC_CG_HIER_INST51           1      11.593      3125.359      3136.952 
      Ca[0].Ga[0..SSING_ELEMENT       237    3814.579    280102.770    283917.349 
        MUL                           138    2157.130    156387.183    158544.312 
        ACC                            74    1328.490     95560.792     96889.282 
          REG                          25     370.480     50947.651     51318.130 
            RC_CG_HIER_INST83           1      11.593      3125.359      3136.952 
      Ca[0].Ga[0..SSING_ELEMENT       237    3814.579    280057.766    283872.344 
        MUL                           138    2157.130    156342.216    158499.346 
        ACC                            74    1328.490     95560.792     96889.282 
          REG                          25     370.480     50947.651     51318.130 
            RC_CG_HIER_INST18           1      11.593      3125.359      3136.952 
      Ca[0].Ga[0..SSING_ELEMENT       237    3814.579    279921.116    283735.694 
        MUL                           138    2157.130    156205.446    158362.576 
        ACC                            74    1328.490     95560.792     96889.282 
          REG                          25     370.480     50947.651     51318.130 
            RC_CG_HIER_INST3            1      11.593      3125.359      3136.952 
      Ca[0].Ga[0..SSING_ELEMENT       237    3814.459    277515.815    281330.274 
        MUL                           138    2157.130    154331.052    156488.181 
        ACC                            74    1328.325     95319.223     96647.548 
          REG                          25     370.408     50761.549     51131.956 
            RC_CG_HIER_INST66           1      11.593      3125.838      3137.431 
      Ca[0].Ga[0..SSING_ELEMENT       237    3809.235    276687.773    280497.008 
        MUL                           138    2155.837    156136.985    158292.821 
        ACC                            74    1325.302     96823.168     98148.470 
          REG                          25     369.393     49933.360     50302.753 
            RC_CG_HIER_INST55           1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3809.228    276782.578    280591.805 
        MUL                           138    2155.837    156198.914    158354.751 
        ACC                            74    1325.302     96872.316     98197.619 
          REG                          25     369.393     49982.599     50351.992 
            RC_CG_HIER_INST7            1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3809.057    277077.884    280886.941 
        MUL                           138    2155.837    156333.471    158489.308 
        ACC                            74    1325.358     97143.807     98469.165 
          REG                          25     369.425     50132.116     50501.541 
            RC_CG_HIER_INST22           1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3808.984    276805.686    280614.670 
        MUL                           138    2155.837    156379.173    158535.009 
        ACC                            74    1325.311     96939.375     98264.686 
          REG                          25     369.398     50019.820     50389.218 
            RC_CG_HIER_INST87           1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3805.777    275879.135    279684.913 
        MUL                           138    2152.382    155350.879    157503.260 
        ACC                            74    1325.302     96823.851     98149.154 
          REG                          25     369.393     49933.360     50302.753 
            RC_CG_HIER_INST39           1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3805.775    276518.605    280324.381 
        MUL                           138    2152.382    155935.102    158087.484 
        ACC                            74    1325.302     96872.316     98197.619 
          REG                          25     369.393     49982.599     50351.992 
            RC_CG_HIER_INST104          1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3805.569    275955.966    279761.535 
        MUL                           138    2152.382    155318.219    157470.600 
        ACC                            74    1325.337     97074.841     98400.178 
          REG                          25     369.413     50094.516     50463.928 
            RC_CG_HIER_INST70           1      11.593      3143.574      3155.167 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.663    316504.231    320307.894 
        MUL                           138    2151.802    186706.794    188858.596 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
            RC_CG_HIER_INST69           1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.598    257305.963    261109.562 
        MUL                           138    2153.666    145629.655    147783.321 
        ACC                            74    1318.352     88377.547     89695.899 
