============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:21:46 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
INVD8BWP             59     124.891    tcbn45gsbwptc 
IOA21D1BWP          395     487.746    tcbn45gsbwptc 
IOA21D2BWP          280     444.528    tcbn45gsbwptc 
IOA21D4BWP           48     135.475    tcbn45gsbwptc 
IOA22D2BWP            5      10.584    tcbn45gsbwptc 
MAOI222D0BWP        245     345.744    tcbn45gsbwptc 
MAOI222D1BWP        915    1291.248    tcbn45gsbwptc 
MAOI22D0BWP         105     148.176    tcbn45gsbwptc 
MAOI22D1BWP          23      36.515    tcbn45gsbwptc 
MAOI22D2BWP           5      10.584    tcbn45gsbwptc 
MAOI22D4BWP           1       2.646    tcbn45gsbwptc 
MOAI22D0BWP        1417    1999.670    tcbn45gsbwptc 
MOAI22D1BWP         171     271.480    tcbn45gsbwptc 
MOAI22D2BWP           7      14.818    tcbn45gsbwptc 
MUX2D1BWP          4254    7504.056    tcbn45gsbwptc 
MUX2D2BWP           125     242.550    tcbn45gsbwptc 
MUX2D4BWP            98     293.882    tcbn45gsbwptc 
MUX2ND0BWP          871    1229.155    tcbn45gsbwptc 
MUX2ND1BWP           29      66.503    tcbn45gsbwptc 
MUX2ND2BWP           59     145.706    tcbn45gsbwptc 
MUX2ND4BWP           35     123.480    tcbn45gsbwptc 
ND2D1BWP           1075     758.520    tcbn45gsbwptc 
ND2D2BWP            548     676.670    tcbn45gsbwptc 
ND2D3BWP            159     252.428    tcbn45gsbwptc 
ND2D4BWP             82     173.578    tcbn45gsbwptc 
ND2D8BWP             13      50.450    tcbn45gsbwptc 
ND3D1BWP            287     303.761    tcbn45gsbwptc 
ND3D2BWP              1       1.764    tcbn45gsbwptc 
ND4D1BWP            143     176.576    tcbn45gsbwptc 
ND4D4BWP              2       8.467    tcbn45gsbwptc 
NR2D1BWP            745     525.672    tcbn45gsbwptc 
NR2D2BWP            170     209.916    tcbn45gsbwptc 
NR2D3BWP             75     119.070    tcbn45gsbwptc 
NR2D4BWP             40      84.672    tcbn45gsbwptc 
NR2D8BWP             18      69.854    tcbn45gsbwptc 
NR2XD0BWP          2273    1603.829    tcbn45gsbwptc 
NR2XD1BWP           206     254.369    tcbn45gsbwptc 
NR2XD2BWP             5      10.584    tcbn45gsbwptc 
NR2XD3BWP            36     107.957    tcbn45gsbwptc 
NR2XD4BWP             3      11.642    tcbn45gsbwptc 
NR2XD8BWP            22     166.874    tcbn45gsbwptc 
NR3D0BWP             26      27.518    tcbn45gsbwptc 
NR3D1BWP              2       3.175    tcbn45gsbwptc 
NR3D3BWP              1       4.234    tcbn45gsbwptc 
